timestamp,consumption_kwh
2025-01-01 18:30:00,1.94
2025-01-01 18:35:00,1.93
2025-01-01 18:40:00,1.92
2025-01-01 18:45:00,1.91
2025-01-01 18:50:00,1.9
2025-01-01 18:55:00,1.89
2025-01-01 19:00:00,1.88
2025-01-01 19:05:00,1.87
2025-01-01 19:10:00,1.86
2025-01-01 19:15:00,1.85
2025-01-01 19:20:00,1.84
2025-01-01 19:25:00,1.83
2025-01-01 19:30:00,1.82
2025-01-01 19:35:00,1.81
2025-01-01 19:40:00,1.8
2025-01-01 19:45:00,1.79
2025-01-01 19:50:00,1.78
2025-01-01 19:55:00,1.77
2025-01-01 20:00:00,1.76
2025-01-01 20:05:00,1.75
2025-01-01 20:10:00,1.74
2025-01-01 20:15:00,1.73
2025-01-01 20:20:00,1.72
2025-01-01 20:25:00,1.71
2025-01-01 20:30:00,1.7
2025-01-01 20:35:00,1.69
2025-01-01 20:40:00,1.68
2025-01-01 20:45:00,1.67
2025-01-01 20:50:00,1.66
2025-01-01 20:55:00,1.65
2025-01-01 21:00:00,1.64
2025-01-01 21:05:00,1.63
2025-01-01 21:10:00,1.62
2025-01-01 21:15:00,1.61
2025-01-01 21:20:00,1.6
2025-01-01 21:25:00,1.59
2025-01-01 21:30:00,1.58
2025-01-01 21:35:00,1.57
2025-01-01 21:40:00,1.56
2025-01-01 21:45:00,1.55
2025-01-01 21:50:00,1.54
2025-01-01 21:55:00,1.53
2025-01-01 22:00:00,1.52
2025-01-01 22:05:00,1.51
2025-01-01 22:10:00,1.5
2025-01-01 22:15:00,1.49
2025-01-01 22:20:00,1.48
2025-01-01 22:25:00,1.47
2025-01-01 22:30:00,1.46
2025-01-01 22:35:00,1.45
2025-01-01 22:40:00,1.44
2025-01-01 22:45:00,1.43
2025-01-01 22:50:00,1.42
2025-01-01 22:55:00,1.41
2025-01-01 23:00:00,1.4
2025-01-01 23:05:00,1.39
2025-01-01 23:10:00,1.38
2025-01-01 23:15:00,1.37
2025-01-01 23:20:00,1.36
2025-01-01 23:25:00,1.35
2025-01-01 23:30:00,1.34
2025-01-01 23:35:00,1.33
2025-01-01 23:40:00,1.32
2025-01-01 23:45:00,1.31
2025-01-01 23:50:00,1.3
2025-01-01 23:55:00,1.29
